LumiCycle: Ca1a-Bmal1-1 (Raw),,,,,,,,,
Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec
0.52778,2070.121,0.52778,2939.216,0.52778,4372.271,0.52778,3527.9,0.52778,2713.847
0.53472,2069.211,0.53472,2930.041,0.53472,4338.784,0.53472,3529.513,0.53472,2725.251
0.54167,2060.824,0.54167,2924.337,0.54167,4298.735,0.54167,3505.834,0.54167,2734.168
0.54861,2054.192,0.54861,2924.081,0.54861,4308.881,0.54861,3492.092,0.54861,2751.077
0.55556,2060.795,0.55556,2919.9,0.55556,4277.415,0.55556,3480.44,0.55556,2777.415
0.5625,2046.088,0.5625,2921.226,0.5625,4266.127,0.5625,3494.714,0.5625,2771.731
0.56944,2054.941,0.56944,2919.226,0.56944,4248.124,0.56944,3462.031,0.56944,2778.901
0.57639,2047.085,0.57639,2923.055,0.57639,4224.062,0.57639,3460.125,0.57639,2803.887
0.58333,2043.205,0.58333,2902.489,0.58333,4202.339,0.58333,3461.945,0.58333,2791.424
0.59028,2024.104,0.59028,2908.783,0.59028,4174.331,0.59028,3435.21,0.59028,2806.566
0.59722,2070.24,0.59722,2912.454,0.59722,4136.539,0.59722,3434.101,0.59722,2800.046
0.60417,2049.407,0.60417,2913.692,0.60417,4131.866,0.60417,3429.152,0.60417,2812.471
0.61111,2032.198,0.61111,2907.398,0.61111,4104.1,0.61111,3399.865,0.61111,2807.042
0.61806,2034.304,0.61806,2886.08,0.61806,4077.549,0.61806,3392.547,0.61806,2821.981
0.625,2037.203,0.625,2870.041,0.625,4056.341,0.625,3408.249,0.625,2812.702
0.63194,2012.565,0.63194,2854.31,0.63194,4036.693,0.63194,3392.101,0.63194,2820.843
0.63889,2026.514,0.63889,2843.344,0.63889,4000.418,0.63889,3379.919,0.63889,2826.894
0.64583,2007.198,0.64583,2826.099,0.64583,3993.517,0.64583,3363.962,0.64583,2811.369
0.65278,1994.568,0.65278,2801.443,0.65278,3961.336,0.65278,3363.092,0.65278,2818.015
0.65972,1982.848,0.65972,2770.168,0.65972,3932.666,0.65972,3349.539,0.65972,2790.771
0.66667,1977.115,0.66667,2753.947,0.66667,3901.06,0.66667,3351.612,0.66667,2806.37
0.67361,1965.061,0.67361,2731.063,0.67361,3891.708,0.67361,3328.489,0.67361,2798.283
0.68056,1967.947,0.68056,2718.477,0.68056,3839.37,0.68056,3315.919,0.68056,2781.672
0.6875,1953.09,0.6875,2671.089,0.6875,3801.063,0.6875,3325.608,0.6875,2776.068
0.69444,1955.078,0.69444,2652.786,0.69444,3780.224,0.69444,3302.984,0.69444,2765.241
0.70139,1953.203,0.70139,2639.267,0.70139,3771.674,0.70139,3278.567,0.70139,2746.362
0.70833,1934.999,0.70833,2616.368,0.70833,3719.45,0.70833,3279.214,0.70833,2741.718
0.71528,1912.813,0.71528,2586.939,0.71528,3703.693,0.71528,3268.199,0.71528,2727.271
0.72222,1915.967,0.72222,2564.572,0.72222,3678.307,0.72222,3256.395,0.72222,2711.903
0.72917,1899.96,0.72917,2548.326,0.72917,3637.769,0.72917,3253.738,0.72917,2704.871
0.73611,1885.912,0.73611,2535.736,0.73611,3621.442,0.73611,3238.801,0.73611,2680.635
0.74306,1878.635,0.74306,2503.522,0.74306,3590.685,0.74306,3222.214,0.74306,2662.513
0.75,1866.565,0.75,2486.503,0.75,3545.796,0.75,3225.15,0.75,2648.381
0.75694,1857.996,0.75694,2460.721,0.75694,3518.584,0.75694,3200.645,0.75694,2637.638
0.76389,1858.814,0.76389,2438.984,0.76389,3471.519,0.76389,3168.133,0.76389,2610.684
