,,,,,,,,,
Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec
0.79167,2962.824,0.79167,1924.309,0.79167,2111.529,0.79167,3034.168,0.79167,3138.205
0.79861,2932.435,0.79861,1917.862,0.79861,2102.054,0.79861,2990.71,0.79861,3110.381
0.80556,2918.218,0.80556,1926.673,0.80556,2087.977,0.80556,2977.337,0.80556,3088.238
0.8125,2879.768,0.8125,1905.196,0.8125,2082.431,0.8125,2927.656,0.8125,3037.969
0.81944,2843.809,0.81944,1882.738,0.81944,2075.071,0.81944,2898.297,0.81944,3010.011
0.82639,2801.919,0.82639,1885.646,0.82639,2057.414,0.82639,2861.613,0.82639,2952.541
0.83333,2768.458,0.83333,1871.545,0.83333,2068.389,0.83333,2823.625,0.83333,2941.909
0.84028,2734.848,0.84028,1857.622,0.84028,2035.72,0.84028,2795.715,0.84028,2886.152
0.84722,2699.531,0.84722,1845.306,0.84722,2020.237,0.84722,2757.155,0.84722,2846.821
0.85417,2654.985,0.85417,1836.945,0.85417,2022.844,0.85417,2712.971,0.85417,2793.765
0.86111,2598.692,0.86111,1816.628,0.86111,2010.154,0.86111,2687.778,0.86111,2755.682
0.86806,2570.015,0.86806,1810.497,0.86806,1991.948,0.86806,2625.797,0.86806,2703.08
0.875,2536.138,0.875,1793.358,0.875,1989.183,0.875,2600.176,0.875,2649.507
0.88194,2490.926,0.88194,1784.036,0.88194,1963.602,0.88194,2547.356,0.88194,2609.336
0.88889,2444.46,0.88889,1768.204,0.88889,1951.806,0.88889,2501.705,0.88889,2546.323
0.89583,2396.532,0.89583,1758.547,0.89583,1934.844,0.89583,2452.035,0.89583,2514.403
0.90278,2354.523,0.90278,1736.362,0.90278,1916.192,0.90278,2419.773,0.90278,2474.964
0.90972,2305.859,0.90972,1721.863,0.90972,1905.418,0.90972,2361.747,0.90972,2414.138
0.91667,2251.375,0.91667,1715.384,0.91667,1884.15,0.91667,2331.036,0.91667,2355.645
0.92361,2231.175,0.92361,1685.911,0.92361,1876.822,0.92361,2286.899,0.92361,2317.772
0.93056,2167.497,0.93056,1673.37,0.93056,1856.009,0.93056,2232.992,0.93056,2261.167
